Id,Category
169491,49
33711,15
100051,2
15271,33
13291,2
146571,2
145202,2
166652,57
1282,57
71512,57
24691,57
187130,28
31122,2
125731,33
125732,33
174961,33
125980,28
131642,33
135272,33
195130,2
195131,57
195132,24
11892,38
136812,2
84622,2
117291,2
21252,33
64220,50
84430,57
113740,33
113742,2
41071,20
27502,57
49681,1
49682,33
147491,57
19671,2
95480,56
138791,57
163772,3
96300,57
2350,53
2351,1
72000,33
152732,44
166402,33
131030,57
25160,57
25162,33
26752,33
26750,2
108460,57
148750,10
142411,57
92520,33
30542,2
91362,2
48642,1
93010,33
103052,33
149800,11
123661,39
123532,22
110692,57
185080,2
185082,39
105361,1
45442,57
160190,54
39651,57
145531,57
111060,33
78961,57
5421,1
166700,32
53202,33
146232,57
146230,53
33320,18
127890,21
99502,57
118582,3
198511,53
54671,57
169290,1
173191,1
59760,32
70241,39
153031,53
42671,56
115021,33
144440,28
40700,30
99281,39
47511,33
155602,33
23161,2
111342,33
44700,39
49941,21
49942,33
63760,57
195770,37
34431,33
110840,33
48390,57
178221,57
180352,1
40391,57
56811,2
140382,3
193091,33
193092,56
14951,6
61492,33
125192,33
65291,43
140792,11
1480,20
187462,28
71681,57
181042,33
7282,1
173022,57
172972,33
44680,33
33910,55
45202,0
47742,2
32132,57
145700,57
123210,3
187802,2
125340,53
22921,26
22922,1
152791,3
103951,3
38680,33
144780,57
44090,2
161972,57
53240,57
174292,34
25671,57
2902,57
177330,2
126211,2
20852,29
40462,57
20170,57
116572,2
99911,3
170710,6
19862,38
21360,33
65310,3
182260,33
60090,9
49371,2
167801,57
60021,1
49240,39
49242,53
187850,48
187852,57
21161,33
74410,29
74411,33
32971,33
199661,33
27022,33
70431,57
169272,33
185842,57
191321,33
20101,53
199532,12
160902,4
15761,33
78702,2
112340,57
156622,33
168932,33
198592,2
46852,2
75760,57
27252,57
146200,35
164940,21
1642,57
42180,57
44982,33
192601,33
66322,39
129281,57
76651,57
118021,33
88931,13
14771,2
103531,57
21841,33
50630,57
164541,57
164542,57
165211,33
15470,43
46072,57
92232,2
44202,33
30292,1
92291,57
19492,57
54402,2
80552,57
28730,53
188821,33
188822,2
22050,3
173220,22
18890,27
85081,29
60331,2
871,33
23252,1
150401,57
27652,24
118811,2
172612,33
171842,57
113832,57
48652,27
109782,33
133721,48
4032,33
94361,33
164832,57
164831,57
116021,57
12912,57
58512,57
59481,18
146080,57
69670,33
105210,2
182010,57
182012,57
35541,3
6512,33
43921,57
143600,39
115010,2
119190,26
99370,57
52390,46
199562,33
127151,2
43282,57
122142,1
104440,25
12872,33
118822,3
100981,1
155532,33
10672,11
161011,57
164251,33
38581,33
41551,36
55152,57
55151,33
111710,33
7381,33
7382,13
95741,20
189400,33
104530,57
16140,57
16141,33
29231,33
199681,3
199682,2
152802,57
163360,53
9062,57
83461,2
194811,3
8842,57
84821,49
18242,2
10362,30
133902,57
157892,2
21012,33
174930,8
174932,33
66582,1
88780,33
88782,3
170921,4
41841,33
15222,3
78422,33
193960,1
78902,1
37532,2
189161,33
98792,36
150480,20
86172,33
189481,57
136460,33
130591,57
191991,33
39000,33
58411,57
154052,2
170302,39
195072,33
113622,57
49960,2
58172,22
176192,2
194442,57
86031,57
171801,33
97842,37
69660,4
140822,2
4471,21
156451,33
41330,57
41331,21
41332,34
28411,33
28412,5
198671,33
112360,39
32522,57
176070,2
9741,33
166602,33
57830,43
142092,57
138240,2
138241,57
133612,18
180770,2
156420,33
21981,33
199062,33
41212,2
198522,57
169622,57
14360,33
108591,2
185550,3
112590,11
32571,33
61080,18
44761,14
118290,1
156530,33
30801,56
30802,33
50850,23
115152,33
99420,21
49181,33
72811,57
13892,57
11472,57
6730,33
47410,56
18282,33
87032,33
147400,2
138960,3
156720,57
56411,33
177632,33
19361,57
40371,57
3661,33
53781,57
94850,57
113492,57
170042,33
71290,57
83052,40
13222,57
66210,2
104922,57
31610,57
161592,2
117320,3
69050,1
85312,2
85310,39
89761,43
60620,2
82881,57
50381,57
197911,2
180602,2
136650,57
11941,57
35150,44
79100,18
79102,33
30170,18
30171,2
110621,33
187101,2
188202,0
75042,1
139420,36
59171,57
125671,39
12041,11
145412,39
34032,33
19431,3
80632,22
114250,57
50480,57
96730,33
15091,2
15092,56
24471,33
119841,2
145290,57
76751,33
39181,57
167062,33
65972,39
49232,33
47990,57
158621,2
26311,6
139920,20
85751,57
53111,57
20410,3
19331,33
20810,57
57591,53
10600,36
10602,33
87361,43
125840,34
67382,37
173072,4
174911,50
61290,19
157130,19
157131,1
25302,33
30252,57
130552,34
125922,57
51231,57
38240,2
129470,33
139860,20
20922,33
2270,57
2271,33
76030,1
83962,2
91651,8
117950,57
1880,57
123700,33
116281,50
151512,31
126360,45
197452,33
63351,2
162581,33
104461,22
177542,57
65180,26
130901,39
193072,28
83710,3
101011,33
198362,33
20501,18
182791,33
189802,30
68041,54
78921,33
61442,8
67071,57
57741,33
101141,2
179252,57
85682,33
69511,57
174391,21
166810,33
162141,33
34472,2
70900,33
130750,57
101042,33
156410,2
81460,57
118082,33
191261,26
190261,13
8370,49
33262,33
136010,57
104041,57
9431,57
178352,2
177991,33
99730,16
52422,57
154240,3
193232,33
153401,33
40882,33
63191,57
165672,13
165671,11
102551,33
960,8
197551,57
133141,33
52690,1
33921,44
93981,39
46452,33
140372,53
88422,57
187322,2
121370,33
121371,44
45562,2
118001,21
103872,27
103870,33
112611,57
76971,21
136211,57
71610,57
188491,57
102221,57
102770,57
36142,57
163032,33
11692,33
35882,27
160940,33
174771,13
131310,33
281,39
129672,33
190150,33
142421,12
123612,5
79150,57
33460,56
116961,17
55222,2
9020,4
188440,57
118241,57
119582,46
96470,21
153112,0
25890,57
11681,17
11682,18
148212,4
150450,53
150452,57
80012,2
183471,40
130190,38
56710,33
180371,57
138602,20
22391,0
48382,33
105642,57
120361,33
66540,21
169400,3
169402,17
183222,33
110002,57
89121,57
178030,56
99850,39
196301,57
150441,57
156151,57
15122,27
185730,2
175542,57
56502,39
89712,39
44802,57
151611,57
151612,57
